cat	nom	nm	nf
Nom et adjectif de nombre cardinal invariable	False	False	False
adj. des deux genres et n. m.	True	True	False
adj. et n.	False	False	False
adj. et n. des deux genres	False	False	False
adj. et n. f.	True	False	True
adj. et n. m.	True	True	False
adj. et nom numéral cardinal des deux genres	False	False	False
n.	False	False	False
n. des deux genres	False	False	False
n. et adj.	False	False	False
n. f.	True	False	True
n. f. coll.	True	False	True
n. f. et adj. des deux genres	True	False	True
n. f. et n. m.	True	True	True
n. f. pl.	True	False	True
n. f. pluriel	True	False	True
n. invariable	False	False	False
n. m.	True	True	False
n. m. coll.	True	True	False
n. m. et f.	True	True	False
n. m. et f. pl.	True	True	False
n. m. inv.	True	True	False
n. m. invariable	True	True	False
n. m. pl.	True	True	False
n. m. plur.	True	True	False
n. m. sans pluriel	True	True	False
n. m., Expression empruntée du latin.	True	True	False
n. m., Locution empruntée du latin.	True	True	False
nom et adj. numéral cardinal invariable	False	False	False
